"GEO_ID","NAME","P001001"
"id","Geographic Area Name","Total"
"1000000US361090018003039","Block 3039, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090022003003","Block 3003, Block Group 3, Census Tract 22, Tompkins County, New York","3"
"1000000US361090009001018","Block 1018, Block Group 1, Census Tract 9, Tompkins County, New York","85"
"1000000US361090011001002","Block 1002, Block Group 1, Census Tract 11, Tompkins County, New York","184"
"1000000US361090011001027","Block 1027, Block Group 1, Census Tract 11, Tompkins County, New York","15"
"1000000US361090014003004","Block 3004, Block Group 3, Census Tract 14, Tompkins County, New York","28"
"1000000US361090016001021","Block 1021, Block Group 1, Census Tract 16, Tompkins County, New York","0"
"1000000US361090022001012","Block 1012, Block Group 1, Census Tract 22, Tompkins County, New York","63"
"1000000US361090023002002","Block 2002, Block Group 2, Census Tract 23, Tompkins County, New York","1"
"1000000US361090023002011","Block 2011, Block Group 2, Census Tract 23, Tompkins County, New York","6"
"1000000US361090006004027","Block 4027, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090016003020","Block 3020, Block Group 3, Census Tract 16, Tompkins County, New York","42"
"1000000US361090018003030","Block 3030, Block Group 3, Census Tract 18, Tompkins County, New York","0"
"1000000US361090023001026","Block 1026, Block Group 1, Census Tract 23, Tompkins County, New York","8"
"1000000US361090010003034","Block 3034, Block Group 3, Census Tract 10, Tompkins County, New York","0"
"1000000US361090015003007","Block 3007, Block Group 3, Census Tract 15, Tompkins County, New York","52"
"1000000US361090019002012","Block 2012, Block Group 2, Census Tract 19, Tompkins County, New York","28"
"1000000US361090023001004","Block 1004, Block Group 1, Census Tract 23, Tompkins County, New York","0"
"1000000US361090017002007","Block 2007, Block Group 2, Census Tract 17, Tompkins County, New York","33"
"1000000US361090022001031","Block 1031, Block Group 1, Census Tract 22, Tompkins County, New York","0"
"1000000US361090004001019","Block 1019, Block Group 1, Census Tract 4, Tompkins County, New York","0"
"1000000US361090015003026","Block 3026, Block Group 3, Census Tract 15, Tompkins County, New York","45"
"1000000US361090016002000","Block 2000, Block Group 2, Census Tract 16, Tompkins County, New York","0"
"1000000US361090019002029","Block 2029, Block Group 2, Census Tract 19, Tompkins County, New York","16"
"1000000US361090019003044","Block 3044, Block Group 3, Census Tract 19, Tompkins County, New York","0"
"1000000US361090021001044","Block 1044, Block Group 1, Census Tract 21, Tompkins County, New York","6"
"1000000US361090022001046","Block 1046, Block Group 1, Census Tract 22, Tompkins County, New York","18"
"1000000US361090010001042","Block 1042, Block Group 1, Census Tract 10, Tompkins County, New York","2"
"1000000US361090013004011","Block 4011, Block Group 4, Census Tract 13, Tompkins County, New York","0"
"1000000US361090022003021","Block 3021, Block Group 3, Census Tract 22, Tompkins County, New York","21"
"1000000US361090022003027","Block 3027, Block Group 3, Census Tract 22, Tompkins County, New York","43"
"1000000US361090023002037","Block 2037, Block Group 2, Census Tract 23, Tompkins County, New York","15"
"1000000US361090005001007","Block 1007, Block Group 1, Census Tract 5, Tompkins County, New York","64"
"1000000US361090007002014","Block 2014, Block Group 2, Census Tract 7, Tompkins County, New York","14"
"1000000US361090009003001","Block 3001, Block Group 3, Census Tract 9, Tompkins County, New York","0"
"1000000US361090016003070","Block 3070, Block Group 3, Census Tract 16, Tompkins County, New York","26"
"1000000US361090008002005","Block 2005, Block Group 2, Census Tract 8, Tompkins County, New York","91"
"1000000US361090003001016","Block 1016, Block Group 1, Census Tract 3, Tompkins County, New York","0"
"1000000US361090018001011","Block 1011, Block Group 1, Census Tract 18, Tompkins County, New York","0"
"1000000US361090009003047","Block 3047, Block Group 3, Census Tract 9, Tompkins County, New York","0"
"1000000US361090014003013","Block 3013, Block Group 3, Census Tract 14, Tompkins County, New York","16"
"1000000US361090015003040","Block 3040, Block Group 3, Census Tract 15, Tompkins County, New York","85"
"1000000US361090004001039","Block 1039, Block Group 1, Census Tract 4, Tompkins County, New York","19"
"1000000US361090023002024","Block 2024, Block Group 2, Census Tract 23, Tompkins County, New York","0"
"1000000US361090022001020","Block 1020, Block Group 1, Census Tract 22, Tompkins County, New York","5"
"1000000US361090004001012","Block 1012, Block Group 1, Census Tract 4, Tompkins County, New York","0"
"1000000US361090022002008","Block 2008, Block Group 2, Census Tract 22, Tompkins County, New York","29"
"1000000US361090022003051","Block 3051, Block Group 3, Census Tract 22, Tompkins County, New York","0"
"1000000US361090023001021","Block 1021, Block Group 1, Census Tract 23, Tompkins County, New York","5"
"1000000US361090006001004","Block 1004, Block Group 1, Census Tract 6, Tompkins County, New York","22"
"1000000US361090010001056","Block 1056, Block Group 1, Census Tract 10, Tompkins County, New York","4"
"1000000US361090014001007","Block 1007, Block Group 1, Census Tract 14, Tompkins County, New York","8"
"1000000US361090016003019","Block 3019, Block Group 3, Census Tract 16, Tompkins County, New York","0"
"1000000US361090018001046","Block 1046, Block Group 1, Census Tract 18, Tompkins County, New York","70"
"1000000US361090018001049","Block 1049, Block Group 1, Census Tract 18, Tompkins County, New York","12"
"1000000US361090020002006","Block 2006, Block Group 2, Census Tract 20, Tompkins County, New York","20"
"1000000US361090021003018","Block 3018, Block Group 3, Census Tract 21, Tompkins County, New York","0"
"1000000US361090006004006","Block 4006, Block Group 4, Census Tract 6, Tompkins County, New York","0"
"1000000US361090008001025","Block 1025, Block Group 1, Census Tract 8, Tompkins County, New York","14"
"1000000US361090009002023","Block 2023, Block Group 2, Census Tract 9, Tompkins County, New York","0"
"1000000US361090018001063","Block 1063, Block Group 1, Census Tract 18, Tompkins County, New York","16"
"1000000US361090023002091","Block 2091, Block Group 2, Census Tract 23, Tompkins County, New York","0"
"1000000US361090023002111","Block 2111, Block Group 2, Census Tract 23, Tompkins County, New York","0"
"1000000US361090001001032","Block 1032, Block Group 1, Census Tract 1, Tompkins County, New York","0"
"1000000US361090017002032","Block 2032, Block Group 2, Census Tract 17, Tompkins County, New York","1"
